Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-01 00:00:00-05:00,800.0,859.2000122070312,764.0,767.2000122070312,19214,0.0,0.0
2018-02-01 00:00:00-05:00,764.0,816.0,585.6799926757812,752.0,4663,0.0,0.0
2018-03-01 00:00:00-05:00,722.4000244140625,768.8800048828125,634.4000244140625,732.0,2856,0.0,0.0
2018-04-01 00:00:00-04:00,743.2000122070312,759.2000122070312,664.7999877929688,666.4000244140625,1989,0.0,0.0
2018-05-01 00:00:00-04:00,682.4000244140625,716.7999877929688,610.4000244140625,635.2000122070312,2406,0.0,0.0
2018-06-01 00:00:00-04:00,635.52001953125,679.2000122070312,468.79998779296875,504.0,4286,0.0,0.0
2018-07-01 00:00:00-04:00,524.0,599.1199951171875,440.0,460.0,4140,0.0,0.0
2018-08-01 00:00:00-04:00,464.79998779296875,510.3999938964844,400.79998779296875,408.0,4686,0.0,0.0
2018-09-01 00:00:00-04:00,410.9599914550781,448.0,312.0,321.6000061035156,4070,0.0,0.0
2018-10-01 00:00:00-04:00,328.79998779296875,396.0,235.1999969482422,307.20001220703125,5814,0.0,0.0
2018-11-01 00:00:00-04:00,305.6000061035156,320.0,208.0,285.6000061035156,7908,0.0,0.0
2018-12-01 00:00:00-05:00,286.3999938964844,347.20001220703125,192.0,228.0,26961,0.0,0.0
2019-01-01 00:00:00-05:00,225.60000610351562,336.0,210.39999389648438,280.0,89098,0.0,0.0
2019-02-01 00:00:00-05:00,278.3999938964844,543.8400268554688,252.8000030517578,408.79998779296875,95472,0.0,0.0
2019-03-01 00:00:00-05:00,411.20001220703125,491.6000061035156,381.6000061035156,479.20001220703125,23563,0.0,0.0
2019-04-01 00:00:00-04:00,480.0,558.6400146484375,411.20001220703125,448.79998779296875,14159,0.0,0.0
2019-05-01 00:00:00-04:00,442.3999938964844,519.2000122070312,384.0,406.3999938964844,11983,0.0,0.0
2019-06-01 00:00:00-04:00,403.20001220703125,440.0,320.0,344.0,11095,0.0,0.0
2019-07-01 00:00:00-04:00,340.0,346.3999938964844,204.0,255.1999969482422,68281,0.0,0.0
2019-08-01 00:00:00-04:00,259.20001220703125,282.3999938964844,242.39999389648438,256.79998779296875,11281,0.0,0.0
2019-09-01 00:00:00-04:00,257.2799987792969,404.7200012207031,256.0,296.0,22420,0.0,0.0
2019-10-01 00:00:00-04:00,304.79998779296875,328.79998779296875,212.0,223.1999969482422,25670,0.0,0.0
2019-11-01 00:00:00-04:00,228.0,351.20001220703125,208.0,343.20001220703125,24732,0.0,0.0
2019-12-01 00:00:00-05:00,348.0,378.8800048828125,248.0,358.3999938964844,29684,0.0,0.0
2020-01-01 00:00:00-05:00,360.0,399.20001220703125,312.0,374.3999938964844,14337,0.0,0.0
2020-02-01 00:00:00-05:00,353.6000061035156,374.3999938964844,280.0,312.0,6641,0.0,0.0
2020-03-01 00:00:00-05:00,316.0,334.3999938964844,88.80000305175781,184.0,21063,0.0,0.0
2020-04-01 00:00:00-04:00,203.1999969482422,294.3999938964844,188.0,292.79998779296875,11437,0.0,0.0
2020-05-01 00:00:00-04:00,284.0,308.0,220.0,231.1999969482422,9928,0.0,0.0
2020-06-01 00:00:00-04:00,230.39999389648438,291.20001220703125,216.0,227.1999969482422,24889,0.0,0.0
2020-07-01 00:00:00-04:00,228.0,355.20001220703125,204.0,281.6000061035156,63636,0.0,0.0
2020-08-01 00:00:00-04:00,285.6000061035156,553.5999755859375,264.0,280.79998779296875,870242,0.0,0.0
2020-09-01 00:00:00-04:00,278.3999938964844,293.6000061035156,232.0,249.60000610351562,42137,0.0,0.0
2020-10-01 00:00:00-04:00,247.1999969482422,328.0,240.8000030517578,264.0,63693,0.0,0.0
2020-11-01 00:00:00-04:00,265.6000061035156,296.79998779296875,252.8000030517578,280.79998779296875,31433,0.0,0.0
2020-12-01 00:00:00-05:00,282.3999938964844,504.0,276.79998779296875,484.79998779296875,83991,0.0,0.0
2021-01-01 00:00:00-05:00,486.3999938964844,580.0,467.20001220703125,480.79998779296875,53391,0.0,0.0
2021-02-01 00:00:00-05:00,517.5999755859375,617.5999755859375,467.20001220703125,474.3999938964844,31975,0.0,0.0
2021-03-01 00:00:00-05:00,493.6000061035156,551.9199829101562,404.0,408.79998779296875,41587,0.0,0.0
2021-04-01 00:00:00-04:00,440.0,472.0,370.3999938964844,423.20001220703125,23614,0.0,0.0
2021-05-01 00:00:00-04:00,406.79998779296875,496.0,341.6000061035156,382.3999938964844,94448,0.0,0.0
2021-06-01 00:00:00-04:00,392.0,450.3999938964844,385.6000061035156,396.79998779296875,22233,0.0,0.0
2021-07-01 00:00:00-04:00,397.6000061035156,403.20001220703125,329.6000061035156,338.3999938964844,23353,0.0,0.0
2021-08-01 00:00:00-04:00,340.0,440.0,314.3999938964844,440.0,35814,0.0,0.0
2021-09-01 00:00:00-04:00,440.0,466.3999938964844,338.3999938964844,392.0,44287,0.0,0.0
2021-10-01 00:00:00-04:00,390.3999938964844,530.4000244140625,298.3999938964844,305.6000061035156,219388,0.0,0.0
2021-11-01 00:00:00-04:00,311.20001220703125,336.79998779296875,271.20001220703125,292.0,94505,0.0,0.0
2021-12-01 00:00:00-05:00,300.79998779296875,336.79998779296875,264.79998779296875,320.0,48308,0.0,0.0
2022-01-01 00:00:00-05:00,320.0,326.3999938964844,228.0,246.39999389648438,27612,0.0,0.0
2022-02-01 00:00:00-05:00,240.0,271.20001220703125,216.0,224.0,26279,0.0,0.0
2022-03-01 00:00:00-05:00,226.39999389648438,264.0,209.60000610351562,244.0,22898,0.0,0.0
2022-04-01 00:00:00-04:00,245.60000610351562,267.20001220703125,182.39999389648438,193.60000610351562,27727,0.0,0.0
2022-05-01 00:00:00-04:00,195.1999969482422,207.1999969482422,146.39999389648438,186.39999389648438,31811,0.0,0.0
2022-06-01 00:00:00-04:00,190.39999389648438,190.39999389648438,128.8000030517578,156.0,39451,0.0,0.0
2022-07-01 00:00:00-04:00,145.9199981689453,157.60000610351562,127.19999694824219,136.0,38805,0.0,0.0
2022-08-01 00:00:00-04:00,137.60000610351562,142.39999389648438,121.5999984741211,130.39999389648438,71765,0.0,0.0
2022-09-01 00:00:00-04:00,133.60000610351562,212.8000030517578,132.0,156.39999389648438,98947,0.0,0.0
2022-10-01 00:00:00-04:00,160.8000030517578,230.39999389648438,152.8000030517578,172.8000030517578,86708,0.0,0.0
2022-11-01 00:00:00-04:00,169.60000610351562,176.8000030517578,135.1999969482422,157.60000610351562,44427,0.0,0.0
2022-12-01 00:00:00-05:00,157.60000610351562,163.1999969482422,120.0,130.39999389648438,42921,0.0,0.0
2023-01-01 00:00:00-05:00,132.0,192.0,130.39999389648438,188.8000030517578,59946,0.0,0.0
2023-02-01 00:00:00-05:00,184.8000030517578,265.6000061035156,180.8000030517578,232.8000030517578,60223,0.0,0.0
2023-03-01 00:00:00-05:00,233.60000610351562,294.3999938964844,204.8000030517578,282.3999938964844,40197,0.0,0.0
2023-04-01 00:00:00-04:00,281.6000061035156,428.0,281.6000061035156,425.6000061035156,87449,0.0,0.0
