Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-12-07 00:00:00-05:00,176.75,360.25,170.0,224.75,192752,0.0,0.0
2020-12-14 00:00:00-05:00,208.27499389648438,309.5,165.25,192.5,719832,0.0,0.0
2020-12-21 00:00:00-05:00,192.14999389648438,208.97500610351562,176.0,184.5,58036,0.0,0.0
2020-12-28 00:00:00-05:00,186.25,186.25,141.0,147.75,43480,0.0,0.0
2021-01-04 00:00:00-05:00,149.25,161.25,146.25,155.75,34084,0.0,0.0
2021-01-11 00:00:00-05:00,159.0,206.25,156.625,188.25,67000,0.0,0.0
2021-01-18 00:00:00-05:00,188.25,197.4499969482422,164.5,167.5,35900,0.0,0.0
2021-01-25 00:00:00-05:00,168.75,178.75,159.25,163.5,24428,0.0,0.0
2021-02-01 00:00:00-05:00,164.75,183.25,164.5,176.25,22792,0.0,0.0
2021-02-08 00:00:00-05:00,180.0,196.625,170.625,171.0,27344,0.0,0.0
2021-02-15 00:00:00-05:00,172.75,220.75,172.75,206.0,57252,0.0,0.0
2021-02-22 00:00:00-05:00,210.75,244.5,181.25,187.75,43784,0.0,0.0
2021-03-01 00:00:00-05:00,189.5,197.22500610351562,153.0,165.25,15196,0.0,0.0
2021-03-08 00:00:00-05:00,167.5,187.47500610351562,157.75,186.0,12432,0.0,0.0
2021-03-15 00:00:00-04:00,182.5,208.5,173.0,173.75,35040,0.0,0.0
2021-03-22 00:00:00-04:00,176.0,188.5,168.75,172.75,18564,0.0,0.0
2021-03-29 00:00:00-04:00,171.0,197.25,163.75,183.75,23296,0.0,0.0
2021-04-05 00:00:00-04:00,211.75,252.5,204.25,238.75,127356,0.0,0.0
2021-04-12 00:00:00-04:00,252.75,271.5,200.0,209.25,35868,0.0,0.0
2021-04-19 00:00:00-04:00,209.0,215.0,188.625,191.25,12296,0.0,0.0
2021-04-26 00:00:00-04:00,191.25,200.0,167.75,173.75,16196,0.0,0.0
2021-05-03 00:00:00-04:00,177.75,178.0500030517578,147.75,168.75,101096,0.0,0.0
2021-05-10 00:00:00-04:00,168.5,169.0,147.5,149.25,23716,0.0,0.0
2021-05-17 00:00:00-04:00,148.75,152.5,137.5,141.75,17240,0.0,0.0
2021-05-24 00:00:00-04:00,140.75,142.75,130.0,134.5,16136,0.0,0.0
2021-05-31 00:00:00-04:00,132.25,137.0,122.0,128.75,23704,0.0,0.0
2021-06-07 00:00:00-04:00,130.0,152.25,127.0,148.75,28020,0.0,0.0
2021-06-14 00:00:00-04:00,149.75,150.75,122.0,123.5,37532,0.0,0.0
2021-06-21 00:00:00-04:00,125.75,136.0,121.25,124.75,24960,0.0,0.0
2021-06-28 00:00:00-04:00,126.25,126.25,112.25,112.75,16448,0.0,0.0
2021-07-05 00:00:00-04:00,112.0,136.25,105.25,115.75,339212,0.0,0.0
2021-07-12 00:00:00-04:00,115.75,115.875,100.25,101.5,36312,0.0,0.0
2021-07-19 00:00:00-04:00,101.75,103.75,91.75,99.25,35148,0.0,0.0
2021-07-26 00:00:00-04:00,99.75,100.0,75.0,75.5,59308,0.0,0.0
2021-08-02 00:00:00-04:00,77.25,77.25,65.25,71.0,50360,0.0,0.0
2021-08-09 00:00:00-04:00,73.5,94.5,66.5,81.75,161552,0.0,0.0
2021-08-16 00:00:00-04:00,81.0,102.9749984741211,69.5,96.0,150880,0.0,0.0
2021-08-23 00:00:00-04:00,163.0,177.25,118.17500305175781,132.0,7466732,0.0,0.0
2021-08-30 00:00:00-04:00,128.25,136.5,124.5,127.25,85356,0.0,0.0
2021-09-06 00:00:00-04:00,124.25,145.97500610351562,124.0,131.5,116124,0.0,0.0
2021-09-13 00:00:00-04:00,133.75,136.5,114.0,117.25,85904,0.0,0.0
2021-09-20 00:00:00-04:00,112.75,121.0,103.0,111.25,68572,0.0,0.0
2021-09-27 00:00:00-04:00,110.75,118.0,94.5,101.0,51392,0.0,0.0
2021-10-04 00:00:00-04:00,99.75,102.25,92.75,94.0,38972,0.0,0.0
2021-10-11 00:00:00-04:00,94.0,96.0250015258789,86.75,88.75,29860,0.0,0.0
2021-10-18 00:00:00-04:00,90.75,103.25,88.25,93.5,35312,0.0,0.0
2021-10-25 00:00:00-04:00,92.5,93.75,86.5,90.75,26200,0.0,0.0
2021-11-01 00:00:00-04:00,91.0,106.75,91.0,98.5,18596,0.0,0.0
2021-11-08 00:00:00-05:00,98.75,101.8499984741211,91.75,98.25,14032,0.0,0.0
2021-11-15 00:00:00-05:00,94.80000305175781,103.5,68.0250015258789,68.25,51548,0.0,0.0
2021-11-22 00:00:00-05:00,69.5,71.9749984741211,62.25,66.25,22928,0.0,0.0
2021-11-29 00:00:00-05:00,66.5,68.0,55.0,57.25,27252,0.0,0.0
2021-12-06 00:00:00-05:00,56.5,76.5,54.5,67.5,25960,0.0,0.0
2021-12-13 00:00:00-05:00,69.0,73.75,62.0,66.0,18176,0.0,0.0
2021-12-20 00:00:00-05:00,66.5,72.5,60.25,68.5,14416,0.0,0.0
2021-12-27 00:00:00-05:00,67.75,68.5,55.82500076293945,56.25,33464,0.0,0.0
2022-01-03 00:00:00-05:00,58.25,59.5,48.0,50.75,14996,0.0,0.0
2022-01-10 00:00:00-05:00,51.25,54.0,46.25,46.75,12800,0.0,0.0
2022-01-17 00:00:00-05:00,44.25,67.25,40.70000076293945,61.75,4711308,0.0,0.0
2022-01-24 00:00:00-05:00,59.25,87.5,50.0,62.25,394596,0.0,0.0
2022-01-31 00:00:00-05:00,62.5,68.0,55.5,63.0,47300,0.0,0.0
2022-02-07 00:00:00-05:00,64.75,64.94999694824219,59.0,60.5,49012,0.0,0.0
2022-02-14 00:00:00-05:00,61.75,77.0,58.5,73.75,76872,0.0,0.0
2022-02-21 00:00:00-05:00,73.75,86.25,65.0,81.75,60668,0.0,0.0
2022-02-28 00:00:00-05:00,79.25,92.25,79.0,82.0,25440,0.0,0.0
2022-03-07 00:00:00-05:00,81.25,84.25,70.5,72.75,27636,0.0,0.0
2022-03-14 00:00:00-04:00,72.75,74.0,65.25,68.75,11628,0.0,0.0
2022-03-21 00:00:00-04:00,67.25,69.125,60.25,63.5,14796,0.0,0.0
2022-03-28 00:00:00-04:00,61.75,72.0,54.125,54.5,16416,0.0,0.0
2022-04-04 00:00:00-04:00,54.5,62.474998474121094,43.5,49.0,41132,0.0,0.0
2022-04-11 00:00:00-04:00,49.5,51.79999923706055,46.5,49.0,5156,0.0,0.0
2022-04-18 00:00:00-04:00,49.75,49.75,41.5,42.0,8860,0.0,0.0
2022-04-25 00:00:00-04:00,41.25,47.5,40.150001525878906,43.25,9784,0.0,0.0
2022-05-02 00:00:00-04:00,46.29999923706055,55.75,41.0,50.25,23172,0.0,0.0
2022-05-09 00:00:00-04:00,48.5,49.75,29.5,34.75,19064,0.0,0.0
2022-05-16 00:00:00-04:00,37.0,40.0,31.725000381469727,35.5,14428,0.0,0.0
2022-05-23 00:00:00-04:00,34.5,50.0,32.5,46.75,17708,0.0,0.0
2022-05-30 00:00:00-04:00,48.0,52.07500076293945,42.5,47.5,5812,0.0,0.0
2022-06-06 00:00:00-04:00,50.25,50.75,35.375,37.75,10164,0.0,0.0
2022-06-13 00:00:00-04:00,30.75,40.25,27.75,35.0,13528,0.0,0.0
2022-06-20 00:00:00-04:00,34.25,37.5,32.25,34.25,6028,0.0,0.0
2022-06-27 00:00:00-04:00,34.25,35.724998474121094,29.0,30.5,6572,0.0,0.0
2022-07-04 00:00:00-04:00,30.75,37.0,30.75,36.25,4568,0.0,0.0
2022-07-11 00:00:00-04:00,38.75,38.75,35.25,35.25,2360,0.0,0.0
2022-07-18 00:00:00-04:00,35.5,38.75,34.0,35.5,4412,0.0,0.0
2022-07-25 00:00:00-04:00,34.25,35.5,28.75,28.75,4584,0.0,0.0
2022-08-01 00:00:00-04:00,28.0,35.25,27.25,32.75,10400,0.0,0.0
2022-08-08 00:00:00-04:00,32.25,34.0,29.25,33.25,5312,0.0,0.0
2022-08-15 00:00:00-04:00,31.25,36.25,27.75,30.75,12092,0.0,0.0
2022-08-22 00:00:00-04:00,30.0,32.75,27.25,31.75,21852,0.0,0.0
2022-08-29 00:00:00-04:00,31.75,33.0,29.350000381469727,31.5,6476,0.0,0.0
2022-09-05 00:00:00-04:00,31.25,31.5,28.5,28.75,3076,0.0,0.0
2022-09-12 00:00:00-04:00,29.25,31.25,27.25,28.0,4880,0.0,0.0
2022-09-19 00:00:00-04:00,27.75,28.75,18.0,20.700000762939453,9212,0.0,0.0
2022-09-26 00:00:00-04:00,21.725000381469727,23.5,15.0,16.25,13416,0.0,0.0
2022-10-03 00:00:00-04:00,16.25,19.475000381469727,16.049999237060547,17.774999618530273,4224,0.0,0.0
2022-10-10 00:00:00-04:00,19.25,19.25,15.25,17.174999237060547,5100,0.0,0.0
2022-10-17 00:00:00-04:00,17.0,20.75,16.5,19.5,6876,0.0,0.0
2022-10-24 00:00:00-04:00,19.75,21.0,18.0,18.375,11428,0.0,0.0
2022-10-31 00:00:00-04:00,19.25,20.0,16.5,16.75,3540,0.0,0.0
2022-11-07 00:00:00-05:00,17.325000762939453,18.024999618530273,14.524999618530273,15.0,8012,0.0,0.0
2022-11-14 00:00:00-05:00,15.75,18.5,14.524999618530273,15.274999618530273,4520,0.0,0.0
2022-11-21 00:00:00-05:00,16.024999618530273,16.200000762939453,14.0,15.0,4940,0.0,0.0
2022-11-28 00:00:00-05:00,14.699999809265137,15.5,11.25,12.0,9992,0.0,0.0
2022-12-05 00:00:00-05:00,12.0,12.050000190734863,8.800000190734863,8.925000190734863,21892,0.0,0.0
2022-12-12 00:00:00-05:00,9.0,10.0,8.524999618530273,9.149999618530273,13984,0.0,0.0
2022-12-19 00:00:00-05:00,9.0,18.75,8.949999809265137,11.925000190734863,76824,0.0,0.0
2022-12-26 00:00:00-05:00,11.399999618530273,13.375,9.425000190734863,10.050000190734863,22180,0.0,0.0
2023-01-02 00:00:00-05:00,11.25,74.05000305175781,11.25,38.25,5140256,0.0,0.0
2023-01-09 00:00:00-05:00,37.5,45.5,34.25,43.75,135876,0.0,0.0
2023-01-16 00:00:00-05:00,45.0,45.0,33.75,34.0,47728,0.0,0.0
2023-01-23 00:00:00-05:00,33.75,35.75,31.0,32.75,29008,0.0,0.0
2023-01-30 00:00:00-05:00,32.25,33.5,26.5,29.5,24752,0.0,0.0
2023-02-06 00:00:00-05:00,29.75,31.5,22.725000381469727,23.75,13812,0.0,0.0
2023-02-13 00:00:00-05:00,23.825000762939453,24.950000762939453,19.5,19.75,22420,0.0,0.0
2023-02-20 00:00:00-05:00,20.0,21.024999618530273,14.925000190734863,14.925000190734863,11340,0.0,0.0
2023-02-27 00:00:00-05:00,16.5,20.975000381469727,9.149999618530273,10.800000190734863,1353672,0.0,0.0
2023-03-06 00:00:00-05:00,10.75,11.225000381469727,7.800000190734863,8.649999618530273,149456,0.0,0.0
2023-03-13 00:00:00-04:00,8.625,9.975000381469727,7.550000190734863,8.75,76268,0.0,0.0
2023-03-20 00:00:00-04:00,8.75,9.25,8.100000381469727,8.600000381469727,28120,0.0,0.0
2023-03-27 00:00:00-04:00,8.75,9.800000190734863,7.900000095367432,8.524999618530273,41600,0.0,0.0
2023-04-03 00:00:00-04:00,8.300000190734863,8.925000190734863,7.900000095367432,8.225000381469727,20476,0.0,0.0
2023-04-10 00:00:00-04:00,8.25,8.5,7.5,8.350000381469727,27756,0.0,0.0
2023-04-17 00:00:00-04:00,8.5,10.25,8.0,9.75,42524,0.0,0.0
2023-04-24 00:00:00-04:00,9.675000190734863,9.75,8.0,8.600000381469727,9792,0.0,0.0
2023-05-01 00:00:00-04:00,9.25,9.5,7.625,8.125,33552,0.0,0.0
